title,description,publishtime,url,provider
"Who is Ashok Sharma, the Rajasthan pacer brought for Rs 90 lakh by Gujarat Titans at IPL 2026 auction?",Ashok Sharma IP[L Auction,2025-12,https://indianexpress.com/article/sports/cricket/ashok-sharma-rajasthan-pacer-90-lakh-gujarat-titans-ipl-auction-10423489/,The Indian Express
"Indian Express report on Bihar SIR notices: SC asks counsel to file affidavit, says ‘can’t ask ECI to respond to news articles’",Supreme Court of India on SIR,2025-12,https://indianexpress.com/article/legal-news/indian-express-report-bihar-sir-affidavit-eci-news-articles-10423517/,The Indian Express
Sonia Gandhi asks Centre to double contribution to compensation of ASHA and Anganwadi workers: ‘They are overburdened and underpaid’,Parliament Winter Session 2025,2025-12,https://indianexpress.com/article/india/sonia-gandhi-centre-double-contribution-compensation-asha-anganwadi-workers-overburdened-underpaid-10423515/,The Indian Express
"Why does Jane Austen remain so popular? Because of craft, commerce, and common sense",Jane Austen,2025-12,https://indianexpress.com/article/explained/explained-culture/why-does-jane-austen-remain-so-popular-3-reasons-10423495/,The Indian Express
"PM Internship Scheme 2025: 1.2 lakh openings, 82,000 offers, 28,000 takers — yet only 2,000 completions","The Ministry informed that during Round I, partner companies received over 6.21 lakh applications from about 1.81 lakh candidates (Representational-AI generated image)",2025-12,https://indianexpress.com/article/education/pm-internship-scheme-pmis-2025-number-of-offers-completion-rates-state-wise-list-ministry-of-finance-corporate-affairs-sitharaman-10423372/,The Indian Express
Top 10 AI competitive countries in the world 2025: US leads the race; India makes four spot jump,Most AI competitive countries list,2025-12,https://indianexpress.com/article/trending/top-10-listing/top-10-ai-competitive-countries-in-the-world-2025-10423481/,The Indian Express
"Maharashtra civic polls: Congress local units told to forge ties with any party except Mahayuti, NCP-SP eyes a united front","Elections for 29 municipal corporations in Maharashtra are scheduled for January 15, 2026. (Express Photo)",2025-12,https://indianexpress.com/article/cities/mumbai/maharashtra-civic-polls-congress-mahayuti-ncp-sp-united-front-10423373/,The Indian Express
"UP dense fog alert: IMD issues orange, yellow warning for 40 districts","The India Meteorological Department in Lucknow has issued an orange alert for ‘very dense fog’ in 13 districts of eastern and central Uttar Pradesh, while a yellow alert for dense fog has been sounded in 27 districts stretching from eastern to western UP. (Express Photo)",2025-12,https://indianexpress.com/article/cities/lucknow/up-dense-fog-alert-imd-issues-orange-yellow-warning-for-40-districts-10423439/,The Indian Express
Rakul Preet Singh calls doctor ‘fraud’ after he claims she underwent plastic surgery: ‘Ever heard of hard work?’,Rakul Preet Singh,2025-11,https://indianexpress.com/article/entertainment/bollywood/rakul-preet-singh-calls-doctor-fraud-after-he-claims-she-underwent-plastic-surgery-ever-heard-of-hard-work-10423370/,The Indian Express
This is what happens to the body when you’re jetlagged,"When you travel across time zones, Dr Chaurasia said, your body struggles to align with the local time",2024-11,https://indianexpress.com/article/lifestyle/health/what-happens-to-body-when-jetlagged-9687787/,The Indian Express
"Kisan Mazdoor Morcha announces DC office protests in Punjab, warns of rail blockade from December 20",indian express banner,2025-12,https://indianexpress.com/article/cities/chandigarh/kisan-mazdoor-morcha-dc-office-protests-punjab-rail-blockade-december-20-10423457/,The Indian Express
"Ai+ enters foldable phone segment with NovaFlip, Q1 2026 launch confirmed","Ai+ NovaFlip will be the company’s first foldable smartphone, with a confirmed launch timeline of Q1 2026.",2025-12,https://indianexpress.com/article/technology/mobile-tabs/ai-plus-novaflip-under-rs-4000-q1-2026-launch-10423363/,The Indian Express
Motorola Moto G86 Power review: Built for battery life above all else,Moto G86 Power,2025-12,https://indianexpress.com/article/technology/tech-reviews/motorola-moto-g86-power-review-10423409/,The Indian Express
"Who is Prashant Veer, the UP allrounder bought by Chennai Super Kings for Rs 14.2 crore at IPL 2026 auction?",Prashant Veer in action. (Special arrangement),2025-12,https://indianexpress.com/article/sports/cricket/prashant-veer-allrounder-chennai-super-kings-14-crore-ipl-auction-10423447/,The Indian Express
‘Statue of Liberty’ falls down after powerful windstorm in southern Brazil; video goes viral,Statue of Liberty falls down in Brazil,2025-12,https://indianexpress.com/article/trending/trending-globally/statue-of-liberty-falls-down-after-powerful-windstorm-in-southern-brazil-viral-video-10423442/,The Indian Express
"48,563 MBBS and 29,080 PG seats added in 6 years as govt expands medical education","The government has also approved the addition of 10,023 new medical seats under centrally sponsored schemes in government medical colleges between 2025–26 and 2028–29",2025-12,https://indianexpress.com/article/education/mbbs-pg-md-ms-seats-added-govt-expands-medical-education-neet-ug-10423360/,The Indian Express
"CAT 2025 Final Answer Key Out Tomorrow: 187 objections filed, one accepted from QA section","CAT 2025 Final Answer Key Out Tomorrow: 187 objections filed, one accepted from QA section",Not available,https://indianexpress.com/article/education/cat-2025-final-answer-key-out-result-date-list-of-objections-filed-qa-section-dilr-iimcat-ac-in-10423587/,The Indian Express
"Google Chrome extension with 6 million users caught harvesting ChatGPT, Gemini and Perplexity chats","Google Chrome extension with 6 million users caught harvesting ChatGPT, Gemini and Perplexity chats",Not available,https://indianexpress.com/article/technology/tech-news-technology/google-chrome-extension-urban-vpn-proxy-ai-chats-gemini-chatgpt-perplexity-10423484/,The Indian Express
Sydney Bondi Beach Shooting News Live Updates: Bondi Beach gunmen travelled to Philippines before attack as Islamic State links emerge,Sydney Bondi Beach Shooting News Live Updates: Bondi Beach gunmen travelled to Philippines before attack as Islamic State links emerge,Not available,https://indianexpress.com/article/world/sydney-bondi-beach-shooting-news-live-updates-10423553/,The Indian Express
‘Nothing political in this’: Karnataka minister Dinesh Gundu Rao says Govt will challenge HC order against closure of Jan Aushadi Kendras,‘Nothing political in this’: Karnataka minister Dinesh Gundu Rao says Govt will challenge HC order against closure of Jan Aushadi Kendras,Not available,https://indianexpress.com/article/cities/bangalore/karnataka-minister-dinesh-gundu-rao-govt-hc-jan-aushadi-kendras-closure-10423604/,The Indian Express
SC allows Centre 6 more weeks to respond to recommendations on rehabilitating officer cadets who sustained disabilities,SC allows Centre 6 more weeks to respond to recommendations on rehabilitating officer cadets who sustained disabilities,Not available,https://indianexpress.com/article/legal-news/sc-allows-centre-weeks-respond-recommendations-rehabilitating-officer-cadets-disabilities-10423572/,The Indian Express
BMC announces ‘Swachhata Manthan’ cleanliness competition in Mumbai,BMC announces ‘Swachhata Manthan’ cleanliness competition in Mumbai,Not available,https://indianexpress.com/article/cities/mumbai/bmc-announces-swachhata-manthan-cleanliness-competition-in-mumbai-10423443/,The Indian Express
Subhashree Ganguly says kids got death threats after posting photos with Messi at ‘mismanaged’ Kolkata event: ‘Because I’m a woman’,Subhashree Ganguly says kids got death threats after posting photos with Messi at ‘mismanaged’ Kolkata event: ‘Because I’m a woman’,Not available,https://indianexpress.com/article/entertainment/bollywood/subhashree-ganguly-says-kids-got-death-threats-after-posting-photos-with-messi-at-mismanaged-kolkata-event-because-im-a-woman-10423259/,The Indian Express
"Supreme Court increases compensation for parents of teen killed in road accident, cites ‘pain and suffering’","Supreme Court increases compensation for parents of teen killed in road accident, cites ‘pain and suffering’",Not available,https://indianexpress.com/article/legal-news/supreme-court-increases-compensation-for-parents-of-teen-killed-in-road-accident-cites-pain-and-suffering-10423468/,The Indian Express
West Bengal Sports Minister resigns over Messi event chaos: Who is Aroop Biswas?,West Bengal Sports Minister resigns over Messi event chaos: Who is Aroop Biswas?,Not available,https://indianexpress.com/article/political-pulse/west-bengal-sports-minister-resigns-over-messi-event-chaos-who-is-aroop-biswas-10423567/,The Indian Express
"Dhurandhar sequel: Real-life Chaudhary Aslam, played by Sanjay Dutt, was assassinated; was R&amp;AW involved?","Dhurandhar sequel: Real-life Chaudhary Aslam, played by Sanjay Dutt, was assassinated; was R&amp;AW involved?",Not available,https://indianexpress.com/article/entertainment/bollywood/dhurandhar-sequel-real-life-chaudhary-aslam-sanjay-dutt-assassinated-raw-involved-10423318/,The Indian Express
Knowledge Nugget | How is an Indian Navy ship showcasing ancient maritime traditions?,Knowledge Nugget | How is an Indian Navy ship showcasing ancient maritime traditions?,Not available,https://indianexpress.com/article/upsc-current-affairs/upsc-essentials/insv-kaundinya-indian-navy-stitched-ship-maritime-heritage-10423283/,The Indian Express
"Who is Ashok Sharma, the Rajasthan pacer brought for Rs 90 lakh by Gujarat Titans at IPL 2026 auction?","Who is Ashok Sharma, the Rajasthan pacer brought for Rs 90 lakh by Gujarat Titans at IPL 2026 auction?",Not available,https://indianexpress.com/article/sports/cricket/ashok-sharma-rajasthan-pacer-90-lakh-gujarat-titans-ipl-auction-10423489/,The Indian Express
"Indian Express report on Bihar SIR notices: SC asks counsel to file affidavit, says ‘can’t ask ECI to respond to news articles’","Indian Express report on Bihar SIR notices: SC asks counsel to file affidavit, says ‘can’t ask ECI to respond to news articles’",Not available,https://indianexpress.com/article/legal-news/indian-express-report-bihar-sir-affidavit-eci-news-articles-10423517/,The Indian Express
Sonia Gandhi asks Centre to double contribution to compensation of ASHA and Anganwadi workers: ‘They are overburdened and underpaid’,Sonia Gandhi asks Centre to double contribution to compensation of ASHA and Anganwadi workers: ‘They are overburdened and underpaid’,Not available,https://indianexpress.com/article/india/sonia-gandhi-centre-double-contribution-compensation-asha-anganwadi-workers-overburdened-underpaid-10423515/,The Indian Express
"Why does Jane Austen remain so popular? Because of craft, commerce, and common sense","Why does Jane Austen remain so popular? Because of craft, commerce, and common sense",Not available,https://indianexpress.com/article/explained/explained-culture/why-does-jane-austen-remain-so-popular-3-reasons-10423495/,The Indian Express
"PM Internship Scheme 2025: 1.2 lakh openings, 82,000 offers, 28,000 takers — yet only 2,000 completions","PM Internship Scheme 2025: 1.2 lakh openings, 82,000 offers, 28,000 takers — yet only 2,000 completions",Not available,https://indianexpress.com/article/education/pm-internship-scheme-pmis-2025-number-of-offers-completion-rates-state-wise-list-ministry-of-finance-corporate-affairs-sitharaman-10423372/,The Indian Express
"Dhurandhar sequel: Real-life Chaudhary Aslam, played by Sanjay Dutt, was assassinated; was R&AW involved?","Dhurandhar sequel: Real-life Chaudhary Aslam, played by Sanjay Dutt, was assassinated; was R&AW involved?",Not available,https://indianexpress.com/article/entertainment/bollywood/dhurandhar-sequel-real-life-chaudhary-aslam-sanjay-dutt-assassinated-raw-involved-10423318/,The Indian Express
Pilot bodies move Delhi HC against govt’s relaxation of flight duty norms; Centre says it has authority,Two pilots’ bodies — Indian Pilots Guild and Federation of Indian Pilots — have objected to the regulatory body and the government’s actions.,Not Available,https://indianexpress.com/article/legal-news/pilot-bodies-move-delhi-hc-against-govts-relaxation-of-flight-duty-norms-centre-says-it-has-authority-10423674/,The Indian Express
"HC permission secured, how BMC plans to execute next step of coastal road project","While granting permission to the civic authorities, the HC also said it would keep the plea pending for 10 years, allowing the BMC to file an annual update on compensatory plantation.",Not Available,https://indianexpress.com/article/cities/mumbai/hc-permission-secured-bmc-plans-coastal-road-project-10423667/,The Indian Express
"Volkswagen to end production at German plant, a first in company history",Volkswagen,Not Available,https://indianexpress.com/article/business/volkswagen-to-end-production-german-plant-first-in-company-history-10423657/,The Indian Express
"IND vs SA T20I: Without Abhishek Sharma, India’s top-order strike rate dips from 147.79 to 124.20 – one of weakest Top 4 in the world",Abhishek Sharma India Top Order South Africa,Not Available,https://indianexpress.com/article/sports/cricket/ind-vs-sa-abhishek-sharma-india-top-order-strike-rate-weakest-10423649/,The Indian Express
"Jailed MP Amritpal Singh appears virtually in HC, argues own case for parole to attend House","A lawyer appearing for Amritpal submitted that it was entirely within the court’s discretion to grant custody parole, pointing out that the winter session was nearing its end. (File Photo)",Not Available,https://indianexpress.com/article/legal-news/jailed-mp-amritpal-singh-hc-argues-parole-parliament-10423568/,The Indian Express
